event,station,epi_deg,D_km,event_time_utc,fc_Hz,t0_utc,log10_A,q0,alpha,sigma_km,water_level,fit_start,fit_end,ssr,rmse,n_resid
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,1971-05-20 17:29:00.023000+00:00,3.0,1971-05-20 17:28:58.621000+00:00,-8.607896057947718,9.096941851564578,0.08366588933776915,481.1022910107645,1.821118132984682e-11,0.0,200.0,724.2190603895006,0.26138583141963534,10600
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,1971-05-20 17:29:00.023000+00:00,5.0,1971-05-20 17:29:00.023000+00:00,-8.638531455563403,9.902162219207224,0.07073040471677573,451.57663551085403,1.2901146691439004e-11,0.0,200.0,787.4389370433903,0.2725558514761786,10600
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,1971-05-20 17:29:00.023000+00:00,6.0,1971-05-20 17:29:03.778000+00:00,-8.723746176508444,7.230636312080722,0.08837788914047527,484.182584984117,8.902445138887238e-12,0.0,200.0,967.0905268343865,0.3020512462509211,10600
1971-05-20 17:16:10.013000+00:00__S14,S14,46.0,1394.8741195108762,1971-05-20 17:29:00.023000+00:00,7.0,1971-05-20 17:29:04.337000+00:00,-8.705202263556409,8.842825420086639,0.06943733907257972,474.65276648218406,8.54828617217834e-12,0.0,200.0,756.4701233126398,0.2671424825311215,10600
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,3.0,1973-03-13 08:01:32.396000+00:00,-6.0,2.0,1.0,50.0,1.8491968055799673e-11,0.0,200.0,36472.4563137534,1.8549387497835161,10600
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,4.0,1973-03-13 08:01:32.112000+00:00,-7.885052534081479,6.991091350255223,0.23189643521257572,499.9999142119105,1.6122529087205986e-11,0.0,200.0,292.487515301962,0.16611189548295394,10600
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,5.0,1973-03-13 08:01:35.960000+00:00,-8.000013094225595,9.441831918607608,0.22798776589758657,499.48873159257255,1.1801127703074765e-11,0.0,200.0,280.1601768093585,0.16257369208876768,10600
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,6.0,1973-03-13 08:01:36.998000+00:00,-8.066669222040751,6.611694846322333,0.2135427623445041,499.9998219140465,7.683913562218272e-12,0.0,200.0,303.8711873937611,0.16931359410973124,10600
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,7.0,1973-03-13 08:01:39.471000+00:00,-8.153135473044976,8.091719998152252,0.20259233190382,497.0739900766215,7.399122071616004e-12,0.0,200.0,274.57714962719945,0.16094565754257326,10600
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,8.0,1973-03-13 08:01:40.412000+00:00,-8.246408332965213,7.499870881617794,0.20610165684421172,495.7148538363181,5.15839262307733e-12,0.0,200.0,412.5113440989029,0.1972718037065418,10600
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,9.0,1973-03-13 08:01:45.433000+00:00,-8.277751679032539,6.022217707184801,0.24751654210188304,489.59733551455446,5.431048773492157e-12,0.0,200.0,462.67009191149054,0.20892132940042887,10600
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,3.0,1974-07-11 00:52:04.720000+00:00,-6.0,2.0,1.0,50.0,9.660972836304055e-12,0.0,200.0,22579.201206565194,1.4594907746793315,10600
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,4.0,1974-07-11 00:52:09.374000+00:00,-6.0,2.0,1.0,50.0,7.562901681343305e-12,0.0,200.0,21694.337729031315,1.4306067366031363,10600
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,5.0,1974-07-11 00:52:15.850000+00:00,-6.0,2.0,1.0,50.0,6.193363759192619e-12,0.0,200.0,19687.47561111751,1.3628312514455876,10600
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,6.0,1974-07-11 00:52:21.222000+00:00,-6.0,2.0,1.0,50.0,5.513065291123099e-12,0.0,200.0,18471.40153842079,1.3200700931368812,10600
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,7.0,1974-07-11 00:52:28.507000+00:00,-6.0,2.0,1.0,50.0,4.499900314787384e-12,0.0,200.0,19195.46824543731,1.3456943303371807,10600
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,8.0,1974-07-11 00:52:35.552000+00:00,-6.0,2.0,1.0,50.0,4.2615351861576915e-12,0.0,200.0,18781.210499038556,1.3310944035755137,10600
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,9.0,1974-07-11 00:52:42.221000+00:00,-6.0,2.0,1.0,50.0,4.709707238391493e-12,0.0,200.0,18916.537422274967,1.3358813577939517,10600
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,3.0,1975-01-03 01:46:41.202000+00:00,-6.692388140657835,2.546339443396952,1.7959394018417187,120.68433047965847,3.872792297615959e-11,0.0,200.0,267.0752397905078,0.15873177797381074,10600
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,4.0,1975-01-03 01:46:55.874000+00:00,-6.0,2.0,1.0,50.0,5.963372753815999e-11,0.0,200.0,25981.585574464698,1.5655966845656915,10600
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,5.0,1975-01-03 01:47:03.344000+00:00,-6.0,2.0,1.0,50.0,4.649048755448839e-11,0.0,200.0,23843.14235216793,1.4997843351933353,10600
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,6.0,1975-01-03 01:47:11.353000+00:00,-7.975965830657333,7.601834340162276,0.1803484291683401,492.5754039219104,3.2613418854644844e-11,0.0,200.0,271.70822227886504,0.16010262695653527,10600
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,7.0,1975-01-03 01:47:11.055000+00:00,-8.06493703628731,6.0482087953758645,0.1627040646002841,427.2087345283796,2.940849027322435e-11,0.0,200.0,273.1969930213229,0.16054065288401778,10600
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,8.0,1975-01-03 01:47:23.607000+00:00,-8.356948321284714,6.372711602745108,0.18485510904893573,494.7089002432763,1.9400905055691503e-11,0.0,200.0,321.07651809157187,0.1740409077079543,10600
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,9.0,1975-01-03 01:47:33.707000+00:00,-8.451678784705893,6.124434359492041,0.2583075359041076,498.51478036644954,1.918324436095756e-11,0.0,200.0,376.7428714471016,0.18852527768232638,10600
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,3.0,1976-03-06 10:15:45.412000+00:00,-8.08057398499022,6.753304306675301,0.09854118583696493,483.244240732472,1.18537848814958e-11,0.0,200.0,306.86442657079635,0.17014545014425778,10600
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,4.0,1976-03-06 10:15:48.686000+00:00,-8.147846144803674,7.911273123511756,0.10486070984941827,486.45253553545876,7.632803744297971e-12,0.0,200.0,454.28918890028666,0.20702045949850087,10600
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,5.0,1976-03-06 10:15:48.794000+00:00,-8.237976430589026,6.475232412833659,0.11456631615129767,487.72583501951607,6.076608852367474e-12,0.0,200.0,383.6453758265844,0.1902444742525786,10600
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,6.0,1976-03-06 10:15:51.146000+00:00,-8.350127856400519,9.746954779213011,0.12941452987018334,489.1157695152556,5.441013128671385e-12,0.0,200.0,272.6509040760068,0.16038012159677664,10600
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,7.0,1976-03-06 10:15:54.543000+00:00,-8.402401900647112,8.962390426475435,0.11048453627023189,490.3396134690043,5.277453461422405e-12,0.0,200.0,339.314291089412,0.17891557276616926,10600
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,8.0,1976-03-06 10:15:53.518000+00:00,-8.468042979112303,9.567700672950247,0.09951735780304663,485.8864640164339,4.004669253341343e-12,0.0,200.0,261.74479071498956,0.15713976194596,10600
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,9.0,1976-03-06 10:15:56.701000+00:00,-8.487074804634716,6.057109462747069,0.12261727757813544,474.3512399070236,4.264539527062673e-12,0.0,200.0,339.591923172389,0.17898875351314017,10600
