event,station,epi_deg,event_time_utc,fc_Hz,noise_median,noise_std,threshold,onset_s,tmax_s,rise_end_s,trise_s,emax,slope_log,intercept_log,rmse_log
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,3.0,1.9108782549222814e-11,5.713901643871272e-12,3.6250487480836634e-11,5.203070660377307,28.429485754717007,35.20307066037731,23.2264150943397,1.0492419365313198e-09,0.06367807753389543,-22.892562486413503,0.4317242063792772
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,4.0,1.6140549876320762e-11,5.900116831627819e-12,3.384090037120422e-11,8.336127264150946,37.07197632075463,38.336127264150946,28.735849056603683,9.789788802264329e-10,0.09331304564840354,-24.240574166427766,0.20269353819307664
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,5.0,1.2122906594909776e-11,4.7551120908829445e-12,2.638824286755861e-11,7.903221603773545,34.129636698113245,37.903221603773545,26.2264150943397,6.731044230472712e-10,0.08909644164525732,-24.445136349175886,0.26991622857025377
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,6.0,7.032577373122293e-12,3.130540559437692e-12,1.642419905143537e-11,6.808617830188723,35.24258009433959,36.80861783018872,28.433962264150864,5.951444762439337e-10,0.10596071647428255,-25.07714482081782,0.21371991425185874
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,7.0,7.1361506934439895e-12,2.1567514974167664e-12,1.3606405185694289e-11,5.977127264151022,35.05259896226414,35.97712726415102,29.07547169811312,3.729016088841599e-10,0.10452090874635508,-25.346958340915926,0.1773203012010764
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,8.0,5.2695344729060935e-12,1.4759620513862653e-12,9.69742062706489e-12,5.470089528301855,35.470089528301855,35.470089528301855,30.0,1.719521999581628e-10,0.08281321675380279,-25.19651404954138,0.29215419719303415
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,1973-03-13 08:01:35.960000+00:00,9.0,5.546611524015801e-12,1.982840274004208e-12,1.1495132346028425e-11,7.0339951886793415,34.61890084905667,37.03399518867934,27.58490566037733,2.894749555479929e-10,0.07595720876358909,-24.813428934064206,0.37625394634165343
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,3.0,8.620257773346162e-12,4.611596355602993e-12,2.2455046840155143e-11,6.2673770754717,35.795678962264105,36.2673770754717,29.528301886792406,1.8689276269505605e-10,0.034178862316212165,-23.86370809385222,0.3246926217905758
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,4.0,7.529209077804584e-12,3.26260484262816e-12,1.7317023605689063e-11,7.783188396226478,33.25488650943396,37.78318839622648,25.47169811320748,1.1687239709689993e-10,0.052282451015171746,-24.806165912208748,0.2463013444278253
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,5.0,5.7511388630423056e-12,2.3090639308685016e-12,1.2678330655647811e-11,5.250584622641554,29.948697830188735,35.250584622641554,24.69811320754718,6.745329483163734e-11,0.050676206790479225,-25.363048058606346,0.21816475264328514
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,6.0,4.847071381644068e-12,1.8884025919737585e-12,1.0512279157565344e-11,9.25594311320765,39.25594311320765,39.25594311320765,30.0,4.5534451183048375e-11,0.027168453921554318,-25.018030150174827,0.23080885965901426
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,7.0,3.4345664181080547e-12,1.5723075173248076e-12,8.151488970082477e-12,3.7067921698112514,33.70679216981125,33.70679216981125,30.0,5.4974482323445056e-11,0.04173042332235717,-25.614422629824656,0.22518350607883716
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,8.0,3.6126630054081095e-12,1.441101007317397e-12,7.935966027360299e-12,7.869339339622684,32.60518839622648,37.869339339622684,24.735849056603797,6.140441771788326e-11,0.06348997028340289,-25.938797471166883,0.28502355513766187
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,1974-07-11 00:52:15.850000+00:00,9.0,4.2096285129234705e-12,1.3992573041397866e-12,8.40740042534283e-12,6.973924245283001,36.973924245283,36.973924245283,30.0,7.208594297043297e-11,0.05714042422148718,-25.53576804578305,0.2598230774495201
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,3.0,3.29874152775679e-11,5.989774293190235e-11,2.1268064407327493e-10,26.642149679245335,50.5666779811321,56.642149679245335,23.924528301886767,2.51753424584274e-09,0.06328135070117943,-23.289234087513556,0.320935136108562
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,4.0,4.813494276967534e-11,3.39205795019486e-11,1.4989668127552113e-10,14.838074207547152,43.385244018867866,44.83807420754715,28.547169811320714,1.182050261952157e-09,0.050722241870149704,-22.755486270928948,0.19717045326634156
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,5.0,3.820661068937604e-11,3.3228806980760355e-11,1.3789303163165711e-10,14.952979867924455,44.952979867924455,44.952979867924455,30.0,9.327043662809965e-10,0.041077776875628705,-22.672760673187852,0.1708262848077738
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,6.0,3.066737226716767e-11,2.5721299058680438e-11,1.0783126944320899e-10,12.906244018867937,42.90624401886794,42.90624401886794,30.0,6.402231755614048e-10,0.06216846129535746,-23.819968220243968,0.23134277899772393
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,7.0,2.7791447194040755e-11,2.4835773148391844e-11,1.0229876663921629e-10,33.29858364150948,50.82688552830189,63.29858364150948,17.528301886792406,5.167591237513873e-10,0.025212488787079167,-23.210758847143406,0.27255849624075507
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,8.0,1.7470705156027035e-11,2.7798019362023712e-11,1.0086476324209818e-10,25.02960250943397,54.82205533962269,55.02960250943397,29.792452830188722,4.897291631458682e-10,0.02668595649549934,-23.368852090660152,0.27734820404408184
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,1975-01-03 01:47:03.344000+00:00,9.0,1.5874380158835196e-11,4.456389915171662e-11,1.4956607761398506e-10,39.75979118867929,60.19375345283015,69.75979118867929,20.433962264150864,3.9524744678619e-10,0.0031699645652872987,-22.379887217281578,0.2509931069177173
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,3.0,1.2494201947145798e-11,5.4567217203888574e-12,2.8864367108312372e-11,8.012786339622721,36.069390113207646,38.01278633962272,28.056603773584925,8.010221656686852e-10,0.10739034871692209,-24.653819934034075,0.3141183924131354
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,4.0,8.4909852755905e-12,3.4386444603489145e-12,1.8806918656637246e-11,5.342559924528359,35.19161652830189,35.34255992452836,29.849056603773533,6.008308677822553e-10,0.10112766093734593,-24.612559242681517,0.37878277177905034
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,5.0,6.3526505884699096e-12,2.253018021269499e-12,1.3111704652278407e-11,7.291163698113223,35.17795615094337,37.29116369811322,27.88679245283015,8.770861873999027e-10,0.1045990764890345,-24.66865496511813,0.3020094623630382
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,6.0,6.1187859501510405e-12,2.69226987031625e-12,1.419559556109979e-11,5.712748603773548,35.71274860377355,35.71274860377355,30.0,6.141783539996677e-10,0.09885849405358531,-24.593111459653326,0.31006305178399246
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,7.0,5.340768238390466e-12,2.0312240223742224e-12,1.1434440305513133e-11,5.410088226415041,35.41008822641504,35.41008822641504,30.0,4.2544925189196775e-10,0.10268386453050385,-24.991425840905404,0.3296799887250502
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,8.0,4.571800258654875e-12,1.6010124397624287e-12,9.374837577942161e-12,6.94452218867923,36.73697501886784,36.94452218867923,29.79245283018861,2.868400794700071e-10,0.10217390616490869,-25.447917004736514,0.22859946166836784
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1976-03-06 10:15:48.794000+00:00,9.0,4.439586221029076e-12,1.6006127721938788e-12,9.241424537610712e-12,5.101144830188673,34.04454105660375,35.10114483018867,28.943396226415075,2.9243784548616144e-10,0.09651430717213176,-25.11243697885488,0.276887421803114
