event,station,epi_deg,epi_km,event_time_utc,fc_Hz,band_t0_rel_s,noise_median,noise_std,threshold,fit_start_s,onset_s,peak_s,p_window_end_s,delta_tp_s,peak_amp,t10_s,t50_s,t90_s,rise_10_90_s,amp_rise,tau_rise_s,rmse_log
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,3.0,-3.564,1.9108782549222814e-11,5.713901643871272e-12,3.6250487480836634e-11,0.0,5.203070660377307,46.84458009433956,55.20307066037731,41.641509433962256,1.4210601126019464e-09,7.957787641509412,25.901183867924487,45.97665556603772,38.01886792452831,7.598667973928384e-10,27.60153535179233,0.7242297121649043
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,4.0,-3.848,1.6140549876320762e-11,5.900116831627819e-12,3.384090037120422e-11,0.0,8.336127264150946,50.9776366981132,58.336127264150946,42.641509433962256,1.7121591008098987e-09,14.638014056603765,36.034240471698126,50.01537254716982,35.37735849056605,1.4394138150175784e-09,119.8921247221641,0.8377495442605273
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,5.0,0.0,1.2122906594909776e-11,4.7551120908829445e-12,2.638824286755861e-11,0.0,7.903221603773545,50.24284424528298,57.903221603773545,42.339622641509436,9.814809663921208e-10,18.714542358490576,32.63907066037734,49.37491971698114,30.660377358490564,4.6337725693588954e-10,48.476960406954454,0.781957910970695
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,6.0,1.038,7.032577373122293e-12,3.130540559437692e-12,1.642419905143537e-11,0.0,6.808617830188723,54.41239141509436,56.80861783018872,47.60377358490564,7.495664927301883e-10,16.091636698113234,33.072768773584926,53.5255989622641,37.433962264150864,2.8340720976899176e-10,28.513831526606907,0.8176772359888973
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,7.0,3.511,7.1361506934439895e-12,2.1567514974167664e-12,1.3606405185694289e-11,0.0,5.977127264151022,48.37335367924538,55.97712726415102,42.39622641509436,4.5002744837800543e-10,16.618636698113278,28.222410283018917,47.39222160377358,30.7735849056603,1.857324617764947e-10,27.988563637800233,0.7609779517669367
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,8.0,4.452,5.2695344729060935e-12,1.4759620513862653e-12,9.69742062706489e-12,0.0,5.470089528301855,55.470089528301855,55.470089528301855,50.0,4.892140730923315e-10,14.75310839622648,40.03612726415099,54.771976320754675,40.018867924528195,1.5589459888167232e-10,27.73504476925155,0.6767214683873697
1973-03-13 07:47:00.014000+00:00__S14,S14,88.89,2695.4426192026476,1973-03-13 08:01:35.960000+00:00,9.0,9.473,5.546611524015801e-12,1.982840274004208e-12,1.1495132346028425e-11,0.0,7.0339951886793415,51.12833481132077,57.03399518867934,44.09433962264143,5.408242389576842e-10,12.505693301886822,33.713240471698214,50.24154235849062,37.7358490566038,1.8199387271645444e-10,28.516997600230816,0.6586140175478538
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,3.0,-11.13,8.620257773346162e-12,4.611596355602993e-12,2.2455046840155143e-11,0.0,6.2673770754717,56.2673770754717,56.2673770754717,50.0,2.0715416420684859e-10,6.2673770754717,21.040961981132114,35.66360349056606,29.39622641509436,1.3570959915217791e-10,28.1336885412196,0.31308893468588467
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,4.0,-6.476,7.529209077804584e-12,3.26260484262816e-12,1.7317023605689063e-11,0.0,7.783188396226478,56.38696198113212,57.78318839622648,48.60377358490564,1.8265811891607001e-10,7.934131792452831,28.386961981132117,55.14167896226411,47.20754716981128,8.349762766243648e-11,28.891594200593357,0.3972519440727792
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,5.0,0.0,5.7511388630423056e-12,2.3090639308685016e-12,1.2678330655647811e-11,0.0,5.250584622641554,53.96756575471704,55.250584622641554,48.71698113207549,1.330309420109883e-10,5.401528018867907,29.646811037735915,53.024169528301854,47.62264150943395,4.7624813740551815e-11,27.62529231283066,0.4102308312918677
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,6.0,5.372,4.847071381644068e-12,1.8884025919737585e-12,1.0512279157565344e-11,0.0,9.25594311320765,47.12386764150949,59.25594311320765,37.86792452830184,1.0750231277541378e-10,9.312546886792461,39.72764122641513,46.35028273584908,37.03773584905662,3.978894512083636e-11,29.62797155785486,0.43732903374174303
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,7.0,12.657,3.4345664181080547e-12,1.5723075173248076e-12,8.151488970082477e-12,0.0,3.7067921698112514,49.593584622641515,53.70679216981125,45.886792452830264,6.063149928128876e-11,3.7067921698112514,26.876603490566026,33.65018839622644,29.94339622641519,3.199242277416997e-11,26.853396085953747,0.38744286782025766
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,8.0,19.702,3.6126630054081095e-12,1.441101007317397e-12,7.935966027360299e-12,0.0,7.869339339622684,54.567452547169864,57.869339339622684,46.69811320754718,7.342746308274369e-11,7.869339339622684,25.944811037735917,53.24669783018874,45.37735849056605,3.527649250679028e-11,28.93466967094446,0.48997415082766854
1974-07-11 00:37:00.006000+00:00__S14,S14,100.7045769056711,3053.7001748263765,1974-07-11 00:52:15.850000+00:00,9.0,26.371,4.2096285129234705e-12,1.3992573041397866e-12,8.40740042534283e-12,0.0,6.973924245283001,49.2003393396227,56.973924245283,42.2264150943397,9.592959595463324e-11,7.351282735849054,25.068263867924543,48.275811037735934,40.92452830188688,4.448134528672833e-11,28.486962123990445,0.4388605705502918
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,3.0,-22.142,3.29874152775679e-11,5.989774293190235e-11,2.1268064407327493e-10,0.0,26.642149679245335,68.69875345283015,76.64214967924534,42.05660377358481,3.4555097221474967e-09,29.396866660377327,40.58554590566041,67.64214967924534,38.24528301886801,7.1574299151019255e-09,429.34108136347277,0.9563468909639501
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,4.0,-7.47,4.813494276967534e-11,3.39205795019486e-11,1.4989668127552113e-10,0.0,14.838074207547152,64.83807420754715,64.83807420754715,50.0,2.3385378383730925e-09,15.649394962264068,43.12109307547166,50.81920628301884,35.169811320754775,9.916502168702727e-10,39.29636625190982,0.7533847308656044
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,5.0,0.0,3.820661068937604e-11,3.3228806980760355e-11,1.3789303163165711e-10,0.0,14.952979867924455,62.89637609433953,64.95297986792445,47.943396226415075,2.3771491646819244e-09,16.330338358490508,50.63222515094333,61.537885528301786,45.20754716981128,2.8939955086052074e-09,174.88215742014998,0.5177163969906146
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,6.0,8.009,3.066737226716767e-11,2.5721299058680438e-11,1.0783126944320899e-10,0.0,12.906244018867937,61.66096100000004,62.90624401886794,48.754716981132106,1.2671831948336093e-09,13.69869684905666,42.86850816981132,60.69869684905666,47.0,5.212653274607245e-10,37.474699134615165,0.590780379060722
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,7.0,7.711,2.7791447194040755e-11,2.4835773148391844e-11,1.0229876663921629e-10,0.0,33.29858364150948,71.54386666037738,83.29858364150948,38.245283018867894,6.816211069473352e-10,33.29858364150948,49.072168547169895,70.52499873584907,37.226415094339586,2.558414871303274e-10,41.64929182878041,0.5408061770156943
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,8.0,20.263,1.7470705156027035e-11,2.7798019362023712e-11,1.0086476324209818e-10,0.0,25.02960250943397,54.82205533962269,75.02960250943397,29.792452830188722,4.897291631458682e-10,25.02960250943397,29.369225150943407,53.803187415094385,28.773584905660414,2.2358220025526886e-10,37.5148012613726,0.41684949404124083
1975-01-03 01:32:00.013000+00:00__S15,S15,83.98085268868533,2546.5808249978813,1975-01-03 01:47:03.344000+00:00,9.0,30.363,1.5874380158835196e-11,4.456389915171662e-11,1.4956607761398506e-10,0.0,39.75979118867929,74.75979118867929,89.75979118867929,35.0,5.480055599189978e-10,39.75979118867929,42.87299873584902,73.91073458490564,34.15094339622635,2.854889657476102e-10,44.879895602487,0.3544020230784887
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,3.0,-3.382,1.2494201947145798e-11,5.4567217203888574e-12,2.8864367108312372e-11,0.0,8.012786339622721,53.4844844528302,58.01278633962272,45.47169811320748,1.4079007522973735e-09,19.975050490566105,32.74863539622652,44.57882407547174,24.60377358490564,5.385631748684526e-10,43.04981080276355,0.850072735838309
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,4.0,-0.108,8.4909852755905e-12,3.4386444603489145e-12,1.8806918656637246e-11,0.0,5.342559924528359,50.946333509434,55.34255992452836,45.60377358490564,9.135458119403733e-10,13.795390113207645,33.55010709433964,40.4368995471699,26.641509433962256,3.7897461090610103e-10,27.671279973949765,0.7747442292524584
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,5.0,0.0,6.3526505884699096e-12,2.253018021269499e-12,1.3111704652278407e-11,0.0,7.291163698113223,35.17795615094337,57.29116369811322,27.88679245283015,8.770861873999027e-10,14.876069358490554,25.51757879245281,34.36663539622646,19.490566037735903,3.761113502177378e-10,28.64558186055698,0.8304134547210302
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,6.0,2.352,6.1187859501510405e-12,2.69226987031625e-12,1.419559556109979e-11,0.0,5.712748603773548,55.71274860377355,55.71274860377355,50.0,7.064503868360305e-10,10.958031622641556,26.033503320754676,54.46746558490565,43.5094339622641,3.000286762954239e-10,27.856374311081456,0.7607979407501524
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,7.0,5.749,5.340768238390466e-12,2.0312240223742224e-12,1.1434440305513133e-11,0.0,5.410088226415041,55.41008822641504,55.41008822641504,50.0,6.284344587831506e-10,13.844050490566019,24.655371245282936,54.5421636981132,40.69811320754718,2.441618713586738e-10,27.70504412086416,0.7314657126476675
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,8.0,4.724,4.571800258654875e-12,1.6010124397624287e-12,9.374837577942161e-12,0.0,6.94452218867923,56.284144830188666,56.94452218867923,49.339622641509436,5.23591071314558e-10,15.83131464150938,34.41622030188671,55.303012754716974,39.471698113207594,1.7939467386690032e-10,28.472261100126886,0.8020841868253452
1976-03-06 10:03:00.009000+00:00__S14,S14,56.58004741455963,1715.6966047666845,1976-03-06 10:15:48.794000+00:00,9.0,7.907,4.439586221029076e-12,1.6006127721938788e-12,9.241424537610712e-12,0.0,5.101144830188673,55.10114483018867,55.10114483018867,50.0,4.1884721668960337e-10,11.950201433962206,23.252088226415026,51.04454105660375,39.09433962264154,1.726886506739093e-10,27.550572420425944,0.7105276715535309
